क्र ,पुस्तकाचे नाव ,लेखक ,किंमत ,सवलतीत 
1,म्हणींच्या गोष्टी भाग - १,अचिंत्य बाक्रे,90,68
2,म्हणींच्या गोष्टी भाग - २,अचिंत्य बाक्रे,90,68
3,म्हणींच्या गोष्टी भाग - ३,अचिंत्य बाक्रे,90,68
4,गणिती,अच्युत गोडबोले,330,281
5,गुलाम,अच्युत गोडबोले,450,338
6,तंत्रज्ञ जीनियस (भाग-१),अच्युत गोडबोले,150,128
7,तंत्रज्ञ जीनियस (भाग-२),अच्युत गोडबोले,150,128
8,तंत्रज्ञ जीनियस (भाग-3) ,अच्युत गोडबोले,150,128
9,मनकल्लोळ भाग १ आणि २,अच्युत गोडबोले,700,595
10,माय लॉर्ड,अच्युत गोडबोले,299,254
11,लाईमलाईट,अच्युत गोडबोले,599,509
12,अॅमॅझाॅन,अतुल कहाते,130,98
13,एआय' चालतं कसं,अतुल कहाते,280,210
14,एआय'चं तुफान,अतुल कहाते,260,195
15,एआय'चे गॉडफादर,अतुल कहाते,180,135
16,गुगल,अतुल कहाते,150,113
17,तुमचे-आमचे सुपरहिरो - फिडेल कॅस्ट्रो,अतुल कहाते,130,98
18,तुमचे-आमचे सुपरहिरो नारायण मूर्ती,अतुल कहाते,99,74
19,तुमचे-आमचे सुपरहिरो-अमर्त्य सेन,अतुल कहाते,70,53
20,द इंटेलिजंट इन्व्हेस्टर,अतुल कहाते,550,413
21,द स्कॅम,अतुल कहाते,499,374
22,नेल्सन मंडेला,अतुल कहाते,250,188
23,पुअर इकॉनॉमिक्स - गरिबीचे अर्थकारण,अतुल कहाते,400,300
24,पॅलेस्टाईन-इस्रायल,अतुल कहाते,299,224
25,पैसा,अतुल कहाते,450,338
26,जंगलाचा राजा वाघ,अतुल धामणकर,180,135
27,सिंह,अतुल धामणकर,180,135
28,नाटक नावाचा तराफा,अतुल पेठे,299,224
29,राजयोग ,अदिती गोडसे,१६०,१०४
30,अज्जब गोष्टी गाज्जब गोष्टी,अनंत भावे,199,149
31,विचारा तुम्ही सांगतो आम्ही (भाग १ ते ६ ),अनिता रानडे,११००,७१५
32,प्लास्टिक: वरदान की शाप,अनिल केळकर,99,74
33,शिखंडिनी,अनु अदिती भावे,४००,२६०
34,करिअरथॉन,अनु ज्ञानदा गद्रे-मोनाली,३७०,२४१
35,तुमच्या पतीला एखाद्या पुस्तकाप्रमाणे वाचा,अनु योगिता मेहेंदळे,२५०,१६३
36,वेळेचे परिणामकारक व्यवस्थापन,अनु. अदिती भावे,१५०,९८
37,शेरलॉक होम्स भा १ एक अवलिया,अनु. अनघा देशपांडे,३३०,२१५
38,शेरलॉक होम्स भा २ तर्कशक्तीचं आयुध,अनु. अनघा देशपांडे,३३०,२१५
39,शेरलॉक होम्स भा ३ शुभसंकेत,अनु. अनघा देशपांडे,३००,१९५
40,शेरलॉक होम्स भा ४ अधुरे..तरी अतूट,अनु. अनघा देशपांडे,२४०,१५६
41,शेरलॉक होम्स भा ५ नि:शब्द,अनु. अनघा देशपांडे,३००,१९५
42,इराणच्या गुप्त नोंदी,अनु. प्रसाद साळवी,२८०,१८२
43,मानवी मेंदू,अनु. प्रसाद साळवी,१४०,९१
44,स्मरणशक्ती,अनु. प्रसाद साळवी,१४०,९१
45,द फेल्युअर प्रोजेक्ट,अनु. योगिता मेहेंदळे,४००,२६०
46,"मोदी ३.० अव्वल, उत्तुंग, अभेद्य",अनु. रोहन अंबिके,३००,१९५
47,पांडव राजकुमार अर्जुन एका योध्दाची,अनु. वैशाली पुरंदरे,४००,२६०
48,ध्येयनिश्चिती,अनु. सई साने,२३०,१५०
49,चालढकल करण्यापासून मुक्ती,अनु. स्नेहा केणी,१००,६५
50,विचारचक्रांचा योग्य उपयोग,अनु. स्नेहा केणी,३३०,२१५
